Name,SMILES,Stereo_tag,Metal_Name,Metal_SMILES,Ligand_Name,Ligand_SMILES,Diazo_Name,Diazo_SMILES
M4_L47_D1,[Cu+].CC(C)(C)[C@H]1COC(c2cccc3c2C2(CC3)CCc3cccc(C4=N[C@@H](C(C)(C)C)CO4)c32)=N1.COC(=O)C(=[N+]=[N-])c1ccccc1,1,M4,[Cu+],L47,CC(C)(C)[C@H]1COC(c2cccc3c2C2(CC3)CCc3cccc(C4=N[C@@H](C(C)(C)C)CO4)c32)=N1,D1,COC(=O)C(=[N+]=[N-])c1ccccc1
M4_L48_D1,[Cu+].C[C@@H]1C[Si]2(C[C@@H](C)c3cccc(C4=N[C@@H](c5ccccc5)CO4)c32)c2c(C3=N[C@@H](c4ccccc4)CO3)cccc21.COC(=O)C(=[N+]=[N-])c1ccccc1,-1,M4,[Cu+],L48,C[C@@H]1C[Si]2(C[C@@H](C)c3cccc(C4=N[C@@H](c5ccccc5)CO4)c32)c2c(C3=N[C@@H](c4ccccc4)CO3)cccc21,D1,COC(=O)C(=[N+]=[N-])c1ccccc1
M4_L49_D1,[Cu+].C[C@@H]1C[Si]2(C[C@@H](C)c3cccc(C4=N[C@H](c5ccccc5)CO4)c32)c2c(C3=N[C@H](c4ccccc4)CO3)cccc21.COC(=O)C(=[N+]=[N-])c1ccccc1,-1,M4,[Cu+],L49,C[C@@H]1C[Si]2(C[C@@H](C)c3cccc(C4=N[C@H](c5ccccc5)CO4)c32)c2c(C3=N[C@H](c4ccccc4)CO3)cccc21,D1,COC(=O)C(=[N+]=[N-])c1ccccc1
M4_L50_D1,[Cu+].CC1(C)[C@H]2Cc3cc(-c4ccccc4)[n+]([O-])c(-c4c5c(cc(-c6ccccc6)[n+]4[O-])C[C@H]4C[C@@H]5C4(C)C)c3[C@@H]1C2.COC(=O)C(=[N+]=[N-])c1ccccc1,1,M4,[Cu+],L50,CC1(C)[C@H]2Cc3cc(-c4ccccc4)[n+]([O-])c(-c4c5c(cc(-c6ccccc6)[n+]4[O-])C[C@H]4C[C@@H]5C4(C)C)c3[C@@H]1C2,D1,COC(=O)C(=[N+]=[N-])c1ccccc1
M4_L51_D1,[Cu+].CC1(C)[C@H]2Cc3cc(-c4cc(C(F)(F)F)cc(C(F)(F)F)c4)[n+]([O-])c(-c4c5c(cc(-c6cc(C(F)(F)F)cc(C(F)(F)F)c6)[n+]4[O-])C[C@H]4C[C@@H]5C4(C)C)c3[C@@H]1C2.COC(=O)C(=[N+]=[N-])c1ccccc1,1,M4,[Cu+],L51,CC1(C)[C@H]2Cc3cc(-c4cc(C(F)(F)F)cc(C(F)(F)F)c4)[n+]([O-])c(-c4c5c(cc(-c6cc(C(F)(F)F)cc(C(F)(F)F)c6)[n+]4[O-])C[C@H]4C[C@@H]5C4(C)C)c3[C@@H]1C2,D1,COC(=O)C(=[N+]=[N-])c1ccccc1
M4_L52_D1,[Cu+].CC1(C)[C@H]2Cc3cc(-c4ccc(F)cc4)[n+]([O-])c(-c4c5c(cc(-c6ccc(F)cc6)[n+]4[O-])C[C@H]4C[C@@H]5C4(C)C)c3[C@@H]1C2.COC(=O)C(=[N+]=[N-])c1ccccc1,1,M4,[Cu+],L52,CC1(C)[C@H]2Cc3cc(-c4ccc(F)cc4)[n+]([O-])c(-c4c5c(cc(-c6ccc(F)cc6)[n+]4[O-])C[C@H]4C[C@@H]5C4(C)C)c3[C@@H]1C2,D1,COC(=O)C(=[N+]=[N-])c1ccccc1
M4_L53_D1,[Cu+].COc1ccc(-c2cc3c(c(-c4c5c(cc(-c6ccc(OC)cc6)[n+]4[O-])C[C@H]4C[C@@H]5C4(C)C)[n+]2[O-])[C@@H]2C[C@H](C3)C2(C)C)cc1.COC(=O)C(=[N+]=[N-])c1ccccc1,1,M4,[Cu+],L53,COc1ccc(-c2cc3c(c(-c4c5c(cc(-c6ccc(OC)cc6)[n+]4[O-])C[C@H]4C[C@@H]5C4(C)C)[n+]2[O-])[C@@H]2C[C@H](C3)C2(C)C)cc1,D1,COC(=O)C(=[N+]=[N-])c1ccccc1
M4_L54_D1,[Cu+].CC(C)(C)c1cc2c(c(-c3c4c(cc(C(C)(C)C)[n+]3[O-])C[C@H]3C[C@@H]4C3(C)C)[n+]1[O-])[C@@H]1C[C@H](C2)C1(C)C.COC(=O)C(=[N+]=[N-])c1ccccc1,1,M4,[Cu+],L54,CC(C)(C)c1cc2c(c(-c3c4c(cc(C(C)(C)C)[n+]3[O-])C[C@H]3C[C@@H]4C3(C)C)[n+]1[O-])[C@@H]1C[C@H](C2)C1(C)C,D1,COC(=O)C(=[N+]=[N-])c1ccccc1
M4_L55_D1,[Cu+].CC1(C)[C@H]2Cc3cc(-c4ccco4)[n+]([O-])c(-c4c5c(cc(-c6ccco6)[n+]4[O-])C[C@H]4C[C@@H]5C4(C)C)c3[C@@H]1C2.COC(=O)C(=[N+]=[N-])c1ccccc1,1,M4,[Cu+],L55,CC1(C)[C@H]2Cc3cc(-c4ccco4)[n+]([O-])c(-c4c5c(cc(-c6ccco6)[n+]4[O-])C[C@H]4C[C@@H]5C4(C)C)c3[C@@H]1C2,D1,COC(=O)C(=[N+]=[N-])c1ccccc1
M4_L56_D1,[Cu+].CC1(C)[C@H]2Cc3cc(-c4cccs4)[n+]([O-])c(-c4c5c(cc(-c6cccs6)[n+]4[O-])C[C@H]4C[C@@H]5C4(C)C)c3[C@@H]1C2.COC(=O)C(=[N+]=[N-])c1ccccc1,1,M4,[Cu+],L56,CC1(C)[C@H]2Cc3cc(-c4cccs4)[n+]([O-])c(-c4c5c(cc(-c6cccs6)[n+]4[O-])C[C@H]4C[C@@H]5C4(C)C)c3[C@@H]1C2,D1,COC(=O)C(=[N+]=[N-])c1ccccc1
